Researcher,Layer,Longitude/бу,Latitude/бу,Altitude/m,MAP/mm,MAT/буC,AI,pH,Sand/%,Silt/%,Clay/%,AGB/ (g m^-2),NPP/ (g C m^-2 yr^-1),NDVI,Coverage/%,SOCD/ (kg m^-2),STND/ (kg m^-2)
"Yang et al., 2008",Middle,97.1,32.81,3888,592.6,2.83,46.18862042,7.4,36.75,41.25,22.05,99.5,288.4,0.7194,NA,10.67,1.6885
"Yang et al., 2008",Middle,96.74,32.89,4286,593.5,2.74,46.5855573,7.25,41.35,40.9,17.8,255.9,206.7,0.6156,NA,11.92,1.6175
"Yang et al., 2008",Middle,96.56,32.6,3958,613.8,3.14,46.71232877,7.55,37.05,39.7,23.25,146.3,235,0.6812,NA,5.33,1.347
"Yang et al., 2008",Middle,96.4,32.52,4010,624.2,3.32,46.86186186,7.5,38.45,38.9,22.6,121.8,254.8,0.6983,NA,5.51,1.249
"Yang et al., 2008",Middle,96.4,32.2,3801,649.2,4.05,46.20640569,7.45,31.85,46.05,22.2,112.9,239.5,0.6612,NA,13.59,1.3065
"Yang et al., 2008",Middle,96.39,32,4191,651.8,4.31,45.54856744,7,32.85,47.1,20,54.6,231.2,0.6729,NA,12.24,1.259
"Yang et al., 2008",Middle,95.38,31.49,4288,686.3,3.76,49.87645349,6.8,44.3,37.4,18.3,97.9,212.7,0.6301,NA,15.4,1.438
"Yang et al., 2008",Middle,93.95,31.93,4113,694,1.72,59.21501706,7.2,52.05,30.8,17.2,100.4,191.8,0.658,NA,5.19,1.6095
"Yang et al., 2008",Middle,93.54,31.85,4475,693.7,1.37,61.0114336,6.75,46.5,36,17.5,98.2,183.4,0.5351,NA,7.88,1.851
"Yang et al., 2008",Middle,93.14,31.93,4478,659.2,0.75,61.32093023,7.25,50.9,32.8,16.35,122.6,208.3,0.6967,NA,11,1.7275
"Yang et al., 2008",Middle,92.9,31.84,4307,650.5,0.69,60.85126286,7.3,51.75,31.2,17.05,77.8,206,0.6153,NA,10,1.2645
"Yang et al., 2008",Middle,92.9,31.83,4330,650.5,0.69,60.85126286,7.25,51.2,29.75,19,86.8,203.5,0.6153,NA,14.15,1.363
"Yang et al., 2008",Middle,92.87,31.83,4287,642.3,0.6,60.59433962,7.45,51.25,31.05,17.75,99.6,202.6,0.6158,NA,7.34,1.21
"Yang et al., 2008",Middle,92.87,31.83,4286,642.3,0.6,60.59433962,7.45,51.25,31.05,17.75,101.2,202.6,0.6158,NA,9.78,1.21
"Yang et al., 2008",Middle,92.87,31.83,4290,642.3,0.6,60.59433962,7.45,51.25,31.05,17.75,87.3,202.6,0.6158,NA,6.15,1.21
"Yang et al., 2008",Middle,92.89,31.83,4316,642.3,0.6,60.59433962,7.3,51.95,30.35,17.7,81.3,210.2,0.6158,NA,13.37,1.4335
"Yang et al., 2008",Middle,92.9,31.83,4340,650.5,0.69,60.85126286,7.25,51.2,29.75,19,59.1,203.5,0.6153,NA,10.17,1.363
"Yang et al., 2008",Middle,91.69,31.01,4758,577.3,1.74,49.17376491,7.65,55.9,29,15.1,75.7,119.8,0.4679,NA,6.23,1.142
"Yang et al., 2008",Middle,91.69,31.09,4738,577.3,1.74,49.17376491,7.55,61.3,22,16.7,57.5,140.5,0.4797,NA,7.9,1.4395
"Yang et al., 2008",Middle,91.85,31.71,4646,573.6,0.16,56.45669291,7.5,59.95,22.8,17.2,57.7,178.7,0.6071,NA,8.98,1.33
"Yang et al., 2008",Middle,91.87,33.22,4853,452.7,-2.02,56.72932331,7.7,53.85,30.6,15.55,42.8,47.6,0.2917,NA,7.04,1.088
"Nie et al., 2019",Middle,102.38,36.72,3323,626.9,-0.02,62.81563126,7,31.9,44.85,23.25,NA,484.5,0.8183,NA,50.4572,1.442
"Nie et al., 2019",Middle,101.99,37.4,3277,639.3,-1.42,74.51048951,8,28.75,45.7,25.55,NA,323,0.741,NA,32.12483,1.476
"Nie et al., 2019",Middle,101.85,37.24,3031,647,-0.3,66.70103093,7.85,33.65,42.2,24.15,NA,411.2,0.7808,NA,47.16622,1.488
"Nie et al., 2019",Middle,100.21,34.45,3857,686.1,-1.04,76.57366071,7.85,35.75,42.8,21.4,NA,284.8,0.7944,NA,22.40653,1.4005
"Nie et al., 2019",Middle,100.92,32.9,3824,884.5,0,88.45,6.85,34.85,47.1,18.05,NA,341.1,0.7716,NA,18.9508,1.514
"Nie et al., 2019",Middle,100.66,32.89,3853,864.8,0.53,82.12725546,7,34.85,45.6,19.55,NA,315.4,0.7431,NA,21.15866,1.5155
"Nie et al., 2019",Middle,101.34,33.38,4115,912,-1.48,107.0422535,6.8,31.2,50.15,18.65,NA,342.8,0.7568,NA,29.87432,1.598
"Nie et al., 2019",Middle,101.35,33.37,4109,921.8,-0.88,101.0745614,6.9,33.15,46.1,20.8,NA,309.5,0.799,NA,23.07345,1.6615
"Nie et al., 2019",Middle,100.63,33.27,3737,845.3,0.41,81.20076849,7.3,32.6,45.4,22,NA,310.6,0.8179,NA,58.82514,1.388
"Nie et al., 2019",Middle,102.24,35.42,3455,749.9,0.03,74.76570289,7.65,32.65,49.95,17.45,NA,472.3,0.817,NA,26.48125,1.105
"Nie et al., 2019",Middle,102.23,35.41,3495,759.4,-0.23,77.72773797,7.35,30.65,50.65,18.7,NA,472.8,0.817,NA,33.6467,1.081
"Nie et al., 2019",Middle,102.25,35.53,3220,701.4,1.88,59.04040404,6.75,35.3,43.25,21.45,NA,382.6,0.7517,NA,55.46933,0.9905
"Nie et al., 2019",Middle,102.25,35.41,3570,769.3,-0.84,83.98471616,7.55,34.2,47.35,18.45,NA,404.6,0.7778,NA,45.13528,1.1745
"Nie et al., 2019",Middle,101.85,35.23,3503,763.8,0.4,73.44230769,7.75,32.85,46.3,20.85,NA,311.4,0.7445,NA,38.99922,1.146
"Nie et al., 2019",Middle,101.41,37.38,3389,659,-2.4,86.71052632,7.7,37.8,39.65,22.55,NA,288.1,0.7432,NA,35.15045,1.3345
"Nie et al., 2019",Middle,100.35,38.09,2975,519,-2.51,69.29238985,8.05,39.3,39.45,21.3,NA,312.3,0.7471,NA,36.7711,1.0715
"Nie et al., 2019",Middle,100.24,38.06,3681,559,-5.59,126.7573696,7.9,39.95,39.35,20.7,NA,246.3,0.5524,NA,5.88213,1.38
"Nie et al., 2019",Middle,96.86,33.04,4203,616.6,-1.63,73.66786141,7.4,35.7,44.35,19.9,NA,282.2,0.779,NA,13.20275,1.548
"Nie et al., 2019",Middle,96.84,33.03,4496,646.5,-3.62,101.3322884,7.35,40.15,39.1,20.8,NA,293.6,0.7894,NA,26.62592,1.544
"Nie et al., 2019",Middle,96.85,33.04,4132,603.3,-0.93,66.51598677,7.4,39.3,41.2,19.45,NA,268.6,0.779,NA,29.9123,1.5435
"Nie et al., 2019",Middle,96.58,31.88,4081,603.5,1.27,53.54924579,6.65,33.35,48.4,18.25,NA,270.2,0.6917,NA,27.172,1.605
"Nie et al., 2019",Middle,96.89,31.88,4435,637,-0.93,70.23153252,6.65,38.85,43.1,18,NA,334.1,0.7044,NA,12.32216,1.2515
"Nie et al., 2019",Middle,95.3,32.89,4208,558.9,0.99,50.85532302,7.55,39.6,42,18.3,NA,175.8,0.6097,NA,23.70577,1.4035
"Nie et al., 2019",Middle,97.12,33.33,4137,601.2,-0.51,63.35089568,7.35,38.6,41.8,19.6,NA,246.6,0.7414,NA,48.61274,1.375
"Nie et al., 2019",Middle,96.99,33.36,3660,545.3,3.38,40.754858,7.6,40.9,39.1,20,NA,177.3,0.6772,NA,15.01524,1.361
"Nie et al., 2019",Middle,99.16,37.17,3559,397.4,-0.95,43.91160221,8.25,43.4,36.25,20.35,NA,328.4,0.6696,NA,37.2051,0.86
"Nie et al., 2019",Middle,99.32,37.53,3540,454.1,-3.93,74.81054366,8.05,39.15,42.8,18.05,NA,283,0.6933,NA,32.08468,1.339
"Nie et al., 2019",Middle,99.33,37.53,3673,462.5,-4.34,81.71378092,8.15,38.85,42.95,18.2,NA,261.7,0.6933,NA,16.15654,1.298
"Nie et al., 2019",Middle,97.26,37.45,3475,286.7,-0.25,29.40512821,8.1,47.55,33.95,18.5,NA,174.4,0.2582,NA,2.65473,0.601
"Nie et al., 2019",Middle,101.57,36.37,3537,706.2,-0.91,77.68976898,8.05,33.6,46.1,20.3,NA,378.1,0.7568,NA,22.24714,1.346
"Nie et al., 2019",Middle,102.24,36.28,2965,638.7,1.72,54.49658703,8.3,23.4,51.4,25.2,NA,510.1,0.7708,NA,39.64936,1.065
"Nie et al., 2019",Middle,101.96,36.27,3172,671.5,1.08,60.60469314,8,33.7,46.5,19.8,NA,477.7,0.7694,NA,28.81773,1.682
"Nie et al., 2019",Middle,102.13,37,3147,638.2,-0.92,70.28634361,8.1,26.85,48.35,24.8,NA,399.5,0.7428,NA,39.09059,1.4575
"Nie et al., 2019",Middle,101.43,37.29,3227,685.5,-1.33,79.06574394,7.95,34.6,42.75,22.65,NA,344.8,0.8064,NA,61.79537,1.375
"Nie et al., 2019",Middle,100.65,36.13,2869,515.7,5.09,34.1749503,8.3,35.8,42.15,22,NA,175.6,0.3087,NA,6.94967,0.8985
"Nie et al., 2019",Middle,100.74,35.47,3596,630.6,0.25,61.52195122,7.85,27,47.25,25.75,NA,392.2,0.7181,NA,54.00637,1.4355
"Nie et al., 2019",Middle,101.55,36.38,3153,669.2,0.35,64.65700483,8.1,27.3,51.35,21.35,NA,429,0.7568,NA,40.87879,1.374
"Nie et al., 2019",Middle,98.52,36.9,2951,290.5,3.2,22.00757576,8.35,44.75,38.3,16.95,NA,123.8,0.2476,NA,7.02582,0.4885
"Nie et al., 2019",Middle,98.2,36.99,2965,280.1,4.11,19.85116938,8.3,50.4,33.85,15.75,NA,56.3,0.247,NA,8.31207,0.3985
"Nie et al., 2019",Middle,97.63,37.05,2913,241.2,4.56,16.56593407,8.2,45.7,40,14.3,NA,32.4,0.1151,NA,1.89132,0.475
"Nie et al., 2019",Middle,94.98,36.55,2740,48.4,5.38,3.146944083,8.3,54.35,28.2,17.5,NA,52.1,0.2242,NA,5.54835,0.456
"Nie et al., 2019",Middle,98.39,36.45,3398,307.6,0.29,29.8931001,8.2,47.05,32.1,20.8,NA,44.1,0.1798,NA,5.64623,0.711
"Nie et al., 2019",Middle,96.25,36.49,2717,68.9,5.76,4.371827411,8.4,50.45,31.7,17.85,NA,42.4,0.1705,NA,4.78552,0.415
"Nie et al., 2019",Middle,98.57,36.86,2971,293.6,3.75,21.35272727,8.2,45.6,38.65,15.7,NA,33.8,0.123,NA,8.68175,0.7245
"Nie et al., 2019",Middle,98.54,36.87,2957,284.9,3.33,21.37284321,8.2,47.45,35.85,16.7,NA,56.4,0.2476,NA,4.0189,0.538
"Nie et al., 2019",Middle,97.12,37.35,2917,202.3,4.47,13.98064962,8.4,50.25,35.05,14.75,NA,88.3,0.4241,NA,2.90441,0.4555
"Nie et al., 2019",Middle,97.86,37.04,2986,251.3,3.83,18.17064353,8.2,46.2,38.1,15.7,NA,40.2,0.1585,NA,6.28976,0.6395
"Nie et al., 2019",Middle,97.41,37.26,2896,224.2,4.23,15.75544624,8.3,46.65,35.9,17.45,NA,41.2,0.1636,NA,1.4886,0.523
"Nie et al., 2019",Middle,97.51,37.22,2866,238.9,4.55,16.41924399,8.3,49.8,35.05,15.15,NA,57,0.251,NA,5.9896,0.5315
"Nie et al., 2019",Middle,94.53,35.88,3580,112.5,0.96,10.26459854,8.1,47.95,32.6,19.45,NA,37.7,0.1444,NA,4.44788,0.8475
"Nie et al., 2019",Middle,94.51,35.88,3595,114.2,0.73,10.64305685,8,46.65,34.25,19.1,NA,37.7,0.1444,NA,1.29032,0.8795
"Nie et al., 2019",Middle,97.41,36,3103,200.9,4.69,13.67597005,8.15,45.05,38.05,16.85,NA,46.8,0.1947,NA,2.29688,0.5095
"Nie et al., 2019",Middle,98.67,36.41,3659,351.9,-2.83,49.07949791,8.05,45.15,34.5,20.3,NA,66.6,0.1768,NA,7.11431,0.82
"Sun et al., 2020",Deep,80.84,31.17,4548.95,112.39,0.79,10.41612604,7.5,61.3,27,11.7,21.59,60.8,0.214,12,2.6946792,0.4905208
"Sun et al., 2020",Deep,81.98,32.07,4597.22,134.67,0.52,12.8013308,8.4,55,30.4,14.6,26.79,53.7,0.1308,5.5,9.810416,0.310557
"Sun et al., 2020",Deep,83.11,30.19,4582.93,217.96,0.75,20.27534884,8,73.2,16.8,10,19.58,57.2,0.1408,9,36.8272824,2.3697888
"Sun et al., 2020",Deep,86.28,28.8,4420.09,335.85,2.68,26.48659306,7.6,49.8,31.9,18.3,60.45,54.3,0.2004,11.76,9.810416,0.652966
"Sun et al., 2020",Deep,88.52,31.78,4548.09,372.56,1.14,33.44344704,8.2,55.6,31.2,13.2,28.74,84.8,0.1847,9.6,20.719726,0.923708
"Sun et al., 2020",Deep,90.36,28.9,4542.88,355.52,3.36,26.61077844,7.4,53,35.7,11.3,80.18,129,0.3464,53.33,20.04552533,2.792358667
"Sun et al., 2020",Deep,91.59,29.79,3930,476.53,6.45,28.96838906,7.5,48.7,32.6,18.7,116.67,322.7,0.6988,79.98,4.013352,0.652966
"Sun et al., 2020",Deep,94.73,29.68,3454.3,581.4,6.2,35.88888889,6.1,49.1,37.4,13.5,108.7,299.3,0.8204,90.5,36.8272824,2.3697888
