Researcher,Layer,Longitude/бу,Latitude/бу,Altitude/m,MAP/mm,MAT/буC,AI,pH,Sand/%,Silt/%,Clay/%,AGB/ (g m^-2),NPP/ (g C m^-2 yr^-1),NDVI,Coverage/%,SOCD/ (kg m^-2),STND/ (kg m^-2)
"Yang et al., 2008",Surface,98.58,34.99,4297,371.1,-0.12,37.56072874,7.83,76.35,21.56,2.09,56.5,68.2,0.315,NA,3.78,1.010975
"Yang et al., 2008",Surface,98.45,34.85,4219,375.3,-0.28,38.61111111,7.83,79.96,18.1,1.94,64.5,75,0.3984,NA,3.76,1.06057
"Yang et al., 2008",Surface,98.25,34.88,4229,363.9,-0.53,38.42661035,7.87,85.09,13.39,1.52,54.6,67,0.2616,NA,1.86,0.94464
"Yang et al., 2008",Surface,98.21,34.9,4254,352.6,-0.5,37.11578947,7.9,91.36,7.67,0.97,62.7,65.8,0.2511,NA,1.83,0.88307
"Yang et al., 2008",Surface,98.14,34.93,4219,349.2,-0.52,36.83544304,7.97,84.19,14.21,1.6,62.2,63,0.2527,NA,2.38,0.873045
"Yang et al., 2008",Surface,98.07,35.01,4236,336.8,-0.39,35.04682622,7.97,80.3,17.88,1.82,57.5,50.3,0.2154,NA,1.59,0.96159
"Yang et al., 2008",Surface,95.8,34.14,4226,418,-0.38,43.45114345,7.63,82.33,16.18,1.49,56.5,118,0.4837,NA,3.28,1.00149
"Yang et al., 2008",Surface,92.4,34.17,4596,344.8,-2.5,45.97333333,7.97,82.59,15.69,1.72,96.5,62.3,0.3077,NA,3.18,0.768355
"Yang et al., 2008",Surface,93.1,35.25,4634,277.4,-2.98,39.51566952,7.8,67.95,29.44,2.61,20.1,30.4,0.1769,NA,1.33,0.64175
"Yang et al., 2008",Surface,93.37,35.36,4536,275.9,-2.58,37.18328841,7.77,83.51,14.99,1.5,42.8,37.6,0.195,NA,2.03,0.70866
"Yang et al., 2008",Surface,93.65,35.49,4506,274.8,-2.2,35.23076923,7.9,90.26,8.82,0.92,38.8,31.4,0.1241,NA,1.07,0.54096
"Yang et al., 2008",Surface,94.3,35.75,4144,259.7,-1.24,29.64611872,7.7,89.78,9.65,0.57,17.7,67.6,0.2276,NA,0.39,0.70228
"Yang et al., 2008",Surface,80.75,32.52,4442,103.4,2.19,8.482362592,7.97,88.96,9.42,1.62,15.3,25.1,0.1179,NA,0.78,0.63595
"Yang et al., 2008",Surface,81.18,32.35,4528,119.6,2.3,9.723577236,8.53,91.28,7.05,1.67,28.5,26.3,0.1211,NA,0.67,0.35244
"Yang et al., 2008",Surface,81.35,32.18,4647,132.3,2.47,10.60946271,8.1,92.95,6.24,0.81,14.2,36.6,0.1477,NA,1.3,0.4185
"Yang et al., 2008",Surface,81.67,32.18,4891,139.4,2.48,11.16987179,8.13,77.39,19.41,3.2,13.3,42.4,0.1626,NA,3.83,0.436995
"Yang et al., 2008",Surface,82.42,32.32,4642,166.8,2.14,13.73970346,8.17,77.83,19.61,2.56,14.3,50.3,0.1914,NA,3.36,0.44748
"Yang et al., 2008",Surface,82.55,32.53,4388,166.8,1.99,13.91159299,8.4,80.64,17.64,1.72,17.9,23,0.1125,NA,2.26,0.402485
"Yang et al., 2008",Surface,82.85,32.52,4418,178.4,1.9,14.99159664,8.53,77.23,20.74,2.03,9.8,19.6,0.1039,NA,3.32,0.37392
"Yang et al., 2008",Surface,83.97,32.3,4414,225.8,1.6,19.46551724,8.67,79.76,18.56,1.68,13.4,27.8,0.125,NA,1.06,0.3059
